ID,Target
2,0.05
5,0.025
6,0.25
7,0.21666666666666665
9,0.15
11,0.15
12,0.15
15,0.25
16,0.3
17,0.05
19,0.2
21,0.05
22,0.15
24,0.1
27,0.15
28,0.1
30,0.05
33,0.15
35,0.1
37,0.1
38,0.05
40,0.1
41,0.26666666666666666
44,0.15
46,0.05
47,0.15
48,0.15
50,0.05
52,0.15
53,0.21666666666666665
55,0.2
57,0.15
58,0.25
59,0.2
62,0.0
63,0.15
64,0.15
65,0.0
67,0.15
69,0.1
70,0.15
71,0.2
72,0.05
73,0.05
76,0.05
78,0.2666666666666667
79,0.1
81,0.1
85,0.05
86,0.15
89,0.05
94,0.25
96,0.2
97,0.1
98,0.15
99,0.16666666666666669
100,0.05
103,0.2
104,0.05
108,0.25
110,0.1
112,0.15
114,0.2
116,0.1
117,0.15
119,0.2
120,0.3
121,0.2
123,0.05
124,0.05
126,0.1
128,0.1
129,0.1
133,0.1
138,0.0
147,0.2
149,0.25
158,0.15
160,0.15
164,0.05
167,0.0
168,0.25
174,0.15
181,0.05
185,0.05
187,0.05
189,0.2
190,0.1
194,0.25
197,0.25
198,0.2
201,0.15
205,0.2
208,0.05
211,0.05
216,0.25
219,0.05
223,0.15
224,0.15
226,0.2
229,0.05
230,0.2
237,0.0
238,0.25
240,0.1
243,0.05
245,0.1
246,0.05
247,0.05
248,0.15
249,0.15
250,0.2
251,0.1
255,0.05
256,0.05
257,0.05
260,0.1
261,0.2
263,0.2
264,0.15
267,0.3
268,0.25
272,0.06666666666666667
274,0.1
275,0.05
277,0.1
278,0.1
280,0.25
281,0.15
282,0.3
283,0.05
284,0.2
286,0.25
290,0.25
291,0.05
293,0.2
295,0.05
297,0.05
298,0.26666666666666666
300,0.35
304,0.4
305,0.15
308,0.15
309,0.1
310,0.15
312,0.05
313,0.15
315,0.05
317,0.05
318,0.25
321,0.2
323,0.25
325,0.05
326,0.2
327,0.1
328,0.35
329,0.15
330,0.15
331,0.05
334,0.2125
335,0.05
336,0.05
337,0.2
338,0.2
339,0.2
341,0.25
343,0.25
346,0.15
348,0.15
350,0.1
351,0.1
352,0.21666666666666665
357,0.05
358,0.15
360,0.2125
361,0.21666666666666665
364,0.35
365,0.05
366,0.0
367,0.15
368,0.1
370,0.15
372,0.35
376,0.2
377,0.15
379,0.05
380,0.21666666666666665
381,0.15
385,0.15
386,0.1
389,0.05
391,0.05
392,0.15
393,0.0
395,0.0
396,0.1
397,0.11666666666666667
398,0.3
399,0.1
400,0.1
401,0.325
403,0.3
405,0.1
406,0.05
409,0.21666666666666665
411,0.0375
413,0.2
418,0.15
419,0.15
422,0.21666666666666665
424,0.05
425,0.2
427,0.2
430,0.15
431,0.2
434,0.15
435,0.1
437,0.2
438,0.2
439,0.05
442,0.15
446,0.1
450,0.15
451,0.25
452,0.1
454,0.2
455,0.05
463,0.21666666666666665
464,0.15
465,0.15
467,0.15
468,0.35
470,0.05
472,0.1
473,0.2
475,0.35
476,0.0
479,0.2
481,0.15
483,0.0
484,0.2
486,0.05
487,0.15
491,0.15
494,0.15
495,0.15
497,0.15
498,0.1
499,0.05
503,0.2
504,0.25
505,0.15
506,0.05
507,0.275
508,0.1
509,0.2
510,0.2
511,0.25
512,0.1
516,0.2
518,0.05
519,0.1
520,0.2
521,0.15
522,0.2
524,0.1
525,0.2
526,0.15
528,0.2
529,0.15
531,0.05
532,0.05
534,0.13333333333333333
536,0.05
539,0.0
540,0.05
541,0.15
542,0.25
545,0.05
546,0.15
552,0.05
556,0.05
557,0.15
559,0.05
562,0.1
563,0.05
565,0.15
569,0.05
570,0.2
574,0.15
575,0.2
585,0.1
589,0.25
590,0.2
592,0.15
593,0.0625
594,0.1
595,0.15
597,0.2
601,0.25
603,0.1
604,0.05
605,0.05
607,0.15
608,0.2
610,0.2
612,0.2
613,0.1
615,0.2
616,0.1
617,0.1
619,0.05
620,0.05
621,0.2
624,0.05
625,0.054729729729729726
628,0.05
629,0.15
630,0.15
632,0.3
634,0.1
637,0.25
638,0.1
642,0.25
643,0.15
644,0.05
646,0.2
655,0.35
660,0.2
664,0.016666666666666666
665,0.05
666,0.15
670,0.05
671,0.15
672,0.1
675,0.15
676,0.05
677,0.2
678,0.05
680,0.15
683,0.05
684,0.2
685,0.05
691,0.1
693,0.0
696,0.2
698,0.15
699,0.2
700,0.2
703,0.0
704,0.1
705,0.2
707,0.1
709,0.15
711,0.05
713,0.2
716,0.15
719,0.15
721,0.15
722,0.05
723,0.1
724,0.1
727,0.15
728,0.21666666666666665
729,0.1
733,0.21666666666666665
736,0.25
739,0.1
742,0.05
743,0.15
744,0.15
745,0.1
747,0.15
749,0.15
750,0.05
751,0.1
752,0.0
755,0.1
756,0.1
762,0.0
763,0.2
764,0.125
765,0.05
766,0.15
769,0.2
770,0.25
773,0.15
774,0.05
776,0.0
777,0.05
778,0.1
779,0.2
780,0.15
781,0.1
786,0.2
788,0.25
794,0.26666666666666666
796,0.05
801,0.1
